memberID,amount,paymentDate
331,100.00,2/8/2025
190,100.00,6/17/2024
228,100.00,6/10/2024
108,50.00,7/26/2024
245,100.00,9/1/2024
52,100.00,10/21/2024
66,50.00,2/15/2025
150,300.00,12/29/2024
372,50.00,2/24/2024
30,300.00,3/31/2025
381,100.00,11/21/2024
208,300.00,2/1/2025
35,50.00,3/19/2024
8,100.00,11/16/2024
124,50.00,2/22/2025
353,100.00,12/13/2024
251,50.00,12/12/2024
298,100.00,10/7/2024
109,300.00,9/30/2024
114,100.00,6/28/2024
309,50.00,10/1/2024
223,300.00,3/3/2025
117,100.00,1/23/2025
151,50.00,6/19/2024
118,300.00,4/7/2025
10,100.00,12/24/2024
75,300.00,10/28/2024
351,100.00,1/6/2025
156,50.00,5/16/2024
190,50.00,9/27/2024
271,300.00,8/21/2024
41,50.00,11/1/2024
111,100.00,7/5/2024
329,50.00,8/5/2024
40,50.00,3/12/2025
387,50.00,9/20/2024
358,50.00,6/17/2024
227,100.00,5/11/2024
69,300.00,5/2/2024
226,300.00,4/14/2024
251,300.00,7/8/2024
42,50.00,9/2/2024
393,300.00,3/25/2025
219,100.00,8/20/2024
17,50.00,3/18/2025
4,100.00,3/31/2025
256,300.00,4/2/2024
383,300.00,12/9/2024
332,100.00,7/24/2024
13,50.00,11/4/2024
334,100.00,7/7/2024
90,300.00,7/8/2024
391,50.00,3/24/2025
263,300.00,2/22/2025
8,300.00,6/21/2024
332,300.00,1/25/2025
20,100.00,8/1/2024
269,50.00,6/7/2024
156,300.00,3/12/2024
27,100.00,2/21/2025
110,50.00,4/1/2024
322,100.00,4/15/2025
145,50.00,3/7/2024
381,50.00,7/16/2024
199,50.00,9/11/2024
312,100.00,4/1/2024
30,300.00,7/22/2024
76,300.00,6/14/2024
397,300.00,12/11/2024
196,100.00,1/30/2025
392,100.00,5/24/2024
206,50.00,3/26/2024
326,100.00,1/15/2025
98,100.00,6/12/2024
32,50.00,5/9/2024
104,100.00,2/2/2025
402,300.00,9/12/2024
166,100.00,10/5/2024
338,50.00,9/4/2024
104,300.00,9/11/2024
78,300.00,10/7/2024
173,100.00,12/29/2024
90,50.00,8/21/2024
269,300.00,7/24/2024
282,300.00,3/21/2024
